ID;NOMBRE;PRECIO;DESCRIPCION;CARPETA;CARACTERISTICA1;CARACTERISTICA2;CARACTERISTICA3;CARACTERISTICA4
1;AARAU;97;DUCHA NEGRO MATE;duchas-1;CABEZA DE 20CM X 20 CM;ACERO INOXIDABLE;TUBO DE 40CM CUADRADO;51104110
2;ALLSCHWIL;85;DUCHA CROMADO BRILLANTE;duchas-2;CABEZA DE 20CM X 20 CM;ACERO INOXIDABLE;TUBO DE 40CM CUADRADO;51104111
3;BULLE;78;DUCHA NEGRO MATE;duchas-3;CABEZA DE 20CM REDONDO;ACERO INOXIDABLE;TUBO DE 40CM X 90° REDONDO;51104112
4;HORGEN;70;DUCHA CROMADO BRILLANTE;duchas-4;CABEZA DE 20CM REDONDO;ACERO INOXIDABLE;TUBO DE 40CM X 90° REDONDO;51104113
5;NYON;57;DUCHA CROMADO BRILLANTE;duchas-5;CABEZA DE 20CM REDONDO;ABS CROMADO;TUBO DE 40CM X 90° REDONDO;51104107
6;REINACH;57;DUCHA CROMADO BRILLANTE;duchas-6;CABEZA DE 20CM X 20 CM;ABS CROMADO;TUBO DE 40CM X 90° REDONDO;51104103
7;VEVEY;25;DUCHA NEGRO MATE;duchas-7;CABEZA DE 10CM REDONDO;ABS NEGRO MATE;TUBO DE 15 CM;55100239
8;KLOTEN;495;COLUMNA DE DUCHA;duchas-8;5 SALIDAS DE AGUA;ACERO INOXIDABLE;CON DUCHA TELEFONO;56100119
9;WIL;;;duchas-9;;;;
10;BADEN;;;duchas-10;;;;
11;GOSSAU;;;duchas-11;;;;
12;ONEX;;;duchas-12;;;;
13;BÜLACH;;;duchas-13;;;;
14;VOLKETSWIL;;;duchas-14;;;;
15;BELLINZONA;;;duchas-15;;;;
16;MUTTENZ;;;duchas-16;;;;
17;THALWIL;;;duchas-17;;;;
18;PULLY;;;duchas-18;;;;
19;OLTEN;;;duchas-19;;;;
20;REGENSDORF;;;duchas-20;;;;
21;MONTHEY;;;duchas-21;;;;
22;SCHLIEREN;;;duchas-22;;;;
23;;;;duchas-23;;;;
24;;;;duchas-24;;;;
