ID;NOMBRE;PRECIO;DESCRIPCION;CARPETA;CARACTERISTICA1;CARACTERISTICA2;CARACTERISTICA3;CARACTERISTICA4
1;LAUSANA;160;CROMADO;modelo-1;AGUA FRIA Y CALIENTE;TUBOS DE ABASTO REFORZADO;SALIDA FLUIDA;YF051
2;BERNA;280;CROMADO;modelo-2;AGUA FRIA Y CALIENTE;TUBOS DE ABASTO REFORZADO;TRES SALIDAS DE AGUA;50100813
3;WINTERTHUR;180;NEGRO MATE;modelo-3;CUELLO EN FORMA DE RESORTE;AGUA FRIA Y CALIENTE;DOS SALIDAS DE AGUA;50100816
4;LUCERNA;180;CROMADO;modelo-4;CUELLO EN FORMA DE RESORTE;AGUA FRIA Y CALIENTE;DOS SALIDAS DE AGUA;YF17SS
5;SAN GALO;174;NEGRO MATE;modelo-5;CUELLO EN FORMA DE RESORTE;AGUA FRIA Y CALIENTE;DOS SALIDAS DE AGUA;YF18BL
6;LUGANO;174;CROMADO;modelo-6;CUELLO EN FORMA DE RESORTE;AGUA FRIA Y CALIENTE;DOS SALIDAS DE AGUA;YF18SS
7;BIENA;148;ACERO;modelo-7;CUELLO EXTRAIBLE;AGUA FRIA Y CALIENTE;DOS SALIDAS DE AGUA;YF19SS
8;THUN;120;ACERO;modelo-8;RIGIDO;AGUA FRIA Y CALIENTE;TUBOS DE ABASTO REFORZADO;YF80SSCR
9;KÖNIZ;118;NEGRO MATE;modelo-9;MEZCLADORA FLEXIBLE;AGUA FRIA Y CALIENTE;PERILLA INDEPENDIENTE;50108222
10;COIRA;118;CROMADO;modelo-10;MEZCLADORA FLEXIBLE;AGUA FRIA Y CALIENTE;PERILLA INDEPENDIENTE;50108220
11;NEUCHÂTEL;118;ACERO/NEGRO;modelo-11;MEZCLADORA FLEXIBLE;AGUA FRIA Y CALIENTE;PERILLA INDEPENDIENTE;50108203
12;VERNIER;70;CROMADO;modelo-12;RIGIDO GIRATORIO;AGUA FRIA ;CUATRO SALIDAS DE AGUA;50100680
13;USTER;70;CROMADO;modelo-13;RIGIDO GIRATORIO;AGUA FRIA ;CUATRO SALIDAS DE AGUA;50100681
14;SION;85;NEGRO MATE;modelo-14;CUELLO FLEXIBLE;AGUA FRIA Y CALIENTE;DOS SALIDAS DE AGUA;50100571
15;LANCY;150;NEGRO MATE;modelo-15;RIGIDO;AGUA FRIA Y CALIENTE;TUBOS DE ABASTO REFORZADO;EK001039
16;EMMEN;150;NEGRO MATE;modelo-16;RIGIDO;AGUA FRIA Y CALIENTE;TUBOS DE ABASTO REFORZADO;EK001040
17;;;;modelo-17;;;;
18;;;;modelo-18;;;;
