ID;NOMBRE;PRECIO;DESCRIPCION;CARPETA;CARACTERISTICA1;CARACTERISTICA2;CARACTERISTICA3;CARACTERISTICA4
1;ZUG;927;PIEDRA SINTERIZADA;muebles-1;COLOR MARMOL NEGRO CON DETALLE BEIGE;ESPEJO LED 3 COLORES;MUEBLE SUSPENDIDO;RO17380
2;KRIENS;1180;PIEDRA SINTERIZADA;muebles-2;COLOR MARMOL NEGRO CON DETALLE BEIGE;ESPEJO LED 3 COLORES;MUEBLE SUSPENDIDO;RO173100
3;DÜBENDORF;870;PIEDRA SINTERIZADA;muebles-3;GRIS PIEDRA MARMOLEADA;ESPEJO LED 3 COLORES;MUEBLE SUSPENDIDO;RO07860
4;MONTREUX;460;ALUMINIO Y CERAMICA;muebles-4;COLOR PALO ROSA;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;HC001260
5;DIETIKON;460;ALUMINIO Y CERAMICA;muebles-5;GRIS CLARO;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;HC001360
6;FRAUENFELD;510;ALUMINIO Y CERAMICA;muebles-6;BLANCO;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;HC02980
7;WETZIKON;510;ALUMINIO Y CERAMICA;muebles-7;GRIS OSCURO;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;HC02860
8;BAAR;760;ALUMINIO Y CERAMICA;muebles-8;PANEL DISEÑO DE MADERA Y ESPEJO BLANCO;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;AL012160
9;MAYRIN;480;ALUMINIO Y CERAMICA;muebles-9;PANEL DISEÑO MARMOL Y ESPEJO BLANCO;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;AL011060
10;RIEHEN;720;PLYWOOD Y CERAMICA;muebles-10;PANEL DE MADERA Y ALUMINIO RH.;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;HC11160
11;WÄDENSWIL;460;PLYWOOD Y CERAMICA;muebles-11;PANEL DE MADERA Y ALUMINIO RH.;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;HC22260
12;WETTINGEN;760;PLYWOOD Y CERAMICA;muebles-12;PANEL DE MADERA Y ALUMINIO RH.;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;PL024060
13;CAROUGE;665;PLYWOOD Y CERAMICA;muebles-13;PANEL DE MADERA Y ALUMINIO RH.;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;PL025360
14;RENENS;746;PLYWOOD Y CERAMICA;muebles-14;PANEL DE MADERA Y ALUMINIO RH.;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;PL025460
15;KREUZLINGEN;650;ALUMINIO Y CERAMICA;muebles-15;PANELES DE ALUMINIO DE PANEL BEE;ESPEJO BOTIQUIN;MUEBLE SUSPENDIDO;A014660
16;;;;;;;;
17;;;;;;;;
18;;;;;;;;
19;;;;;;;;
